Name,ID,Has Item,Mod,Class
minecraft:air,0,false,null,net.minecraft.block.BlockAir
minecraft:stone,1,true,null,net.minecraft.block.BlockStone
minecraft:grass,2,true,null,net.minecraft.block.BlockGrass
minecraft:dirt,3,true,null,net.minecraft.block.BlockDirt
minecraft:cobblestone,4,true,null,net.minecraft.block.Block
minecraft:planks,5,true,null,net.minecraft.block.BlockWood
minecraft:sapling,6,true,null,net.minecraft.block.BlockSapling
minecraft:bedrock,7,true,null,net.minecraft.block.Block
minecraft:flowing_water,8,true,null,cofh.asmhooks.block.BlockTickingWater
minecraft:water,9,true,null,cofh.asmhooks.block.BlockWater
minecraft:flowing_lava,10,true,null,net.minecraft.block.BlockDynamicLiquid
minecraft:lava,11,true,null,net.minecraft.block.BlockStaticLiquid
minecraft:sand,12,true,null,net.minecraft.block.BlockSand
minecraft:gravel,13,true,null,net.minecraft.block.BlockGravel
minecraft:gold_ore,14,true,null,net.minecraft.block.BlockOre
minecraft:iron_ore,15,true,null,net.minecraft.block.BlockOre
minecraft:coal_ore,16,true,null,net.minecraft.block.BlockOre
minecraft:log,17,true,null,net.minecraft.block.BlockOldLog
minecraft:leaves,18,true,null,net.minecraft.block.BlockOldLeaf
minecraft:sponge,19,true,null,net.minecraft.block.BlockSponge
minecraft:glass,20,true,null,net.minecraft.block.BlockGlass
minecraft:lapis_ore,21,true,null,net.minecraft.block.BlockOre
minecraft:lapis_block,22,true,null,net.minecraft.block.BlockCompressed
minecraft:dispenser,23,true,null,net.minecraft.block.BlockDispenser
minecraft:sandstone,24,true,null,net.minecraft.block.BlockSandStone
minecraft:noteblock,25,true,null,net.minecraft.block.BlockNote
minecraft:bed,26,false,null,net.minecraft.block.BlockBed
minecraft:golden_rail,27,true,null,net.minecraft.block.BlockRailPowered
minecraft:detector_rail,28,true,null,net.minecraft.block.BlockRailDetector
minecraft:sticky_piston,29,true,null,net.minecraft.block.BlockPistonBase
minecraft:web,30,true,null,net.minecraft.block.BlockWeb
minecraft:tallgrass,31,true,null,net.minecraft.block.BlockTallGrass
minecraft:deadbush,32,true,null,net.minecraft.block.BlockDeadBush
minecraft:piston,33,true,null,net.minecraft.block.BlockPistonBase
minecraft:piston_head,34,false,null,net.minecraft.block.BlockPistonExtension
minecraft:wool,35,true,null,net.minecraft.block.BlockColored
minecraft:piston_extension,36,false,null,net.minecraft.block.BlockPistonMoving
minecraft:yellow_flower,37,true,null,net.minecraft.block.BlockFlower
minecraft:red_flower,38,true,null,net.minecraft.block.BlockFlower
minecraft:brown_mushroom,39,true,null,net.minecraft.block.BlockMushroom
minecraft:red_mushroom,40,true,null,net.minecraft.block.BlockMushroom
minecraft:gold_block,41,true,null,net.minecraft.block.BlockCompressed
minecraft:iron_block,42,true,null,net.minecraft.block.BlockCompressed
minecraft:double_stone_slab,43,true,null,net.minecraft.block.BlockStoneSlab
minecraft:stone_slab,44,true,null,net.minecraft.block.BlockStoneSlab
minecraft:brick_block,45,true,null,net.minecraft.block.Block
minecraft:tnt,46,true,null,net.minecraft.block.BlockTNT
minecraft:bookshelf,47,true,null,net.minecraft.block.BlockBookshelf
minecraft:mossy_cobblestone,48,true,null,net.minecraft.block.Block
minecraft:obsidian,49,true,null,net.minecraft.block.BlockObsidian
minecraft:torch,50,true,null,net.minecraft.block.BlockTorch
minecraft:fire,51,true,null,net.minecraft.block.BlockFire
minecraft:mob_spawner,52,true,null,net.minecraft.block.BlockMobSpawner
minecraft:oak_stairs,53,true,null,net.minecraft.block.BlockStairs
minecraft:chest,54,true,null,net.minecraft.block.BlockChest
minecraft:redstone_wire,55,false,null,net.minecraft.block.BlockRedstoneWire
minecraft:diamond_ore,56,true,null,net.minecraft.block.BlockOre
minecraft:diamond_block,57,true,null,net.minecraft.block.BlockCompressed
minecraft:crafting_table,58,true,null,net.minecraft.block.BlockWorkbench
minecraft:wheat,59,false,null,net.minecraft.block.BlockCrops
minecraft:farmland,60,true,null,net.minecraft.block.BlockFarmland
minecraft:furnace,61,true,null,net.minecraft.block.BlockFurnace
minecraft:lit_furnace,62,true,null,net.minecraft.block.BlockFurnace
minecraft:standing_sign,63,false,null,net.minecraft.block.BlockSign
minecraft:wooden_door,64,false,null,net.minecraft.block.BlockDoor
minecraft:ladder,65,true,null,net.minecraft.block.BlockLadder
minecraft:rail,66,true,null,net.minecraft.block.BlockRail
minecraft:stone_stairs,67,true,null,net.minecraft.block.BlockStairs
minecraft:wall_sign,68,false,null,net.minecraft.block.BlockSign
